0,100
500,0
1000,100
1500,0
2000,100
2500,0
3000,100
3500,0
8000,0
8083,31
8167,56
8250,75
8333,89
8417,97
8500,100
8583,97
8667,89
8750,75
8833,56
8917,31
9000,0
9083,31
9167,56
9250,75
9333,89
9417,97
9500,100
9583,97
9667,89
9750,75
9833,56
9917,31
10000,0
10083,31
10167,56
10250,75
10333,89
10417,97
10500,100
10583,97
10667,89
10750,75
10833,56
10917,31
11000,0
11083,31
11167,56
11250,75
11333,89
11417,97
11500,100
11583,97
11667,89
11750,75
11833,56
11917,31
12000,31
