0,0
333,0
1000,100
1667,0
2333,100
3000,0
3500,100
4000,0
4500,100
4833,0
5167,100
5500,0
5833,100
6167,0
6500,100
6833,0
7167,100
7500,0
7833,100
8167,0
8500,100
8833,0
9167,100
9500,0
9833,100
10167,0
10833,10
11500,0
12167,10
12667,0
13000,100
14000,0
14333,100
15000,0
15333,100
15833,0
16167,100
16500,0
16833,100
17167,0
17433,100
17700,0
17900,100
18100,0
18300,100
18500,0
18700,100
18900,0
19100,100
19333,0
19600,100
19867,0
20200,100
20700,0
21033,100
21700,0
22033,100
23033,0
23367,100
24667,10
25333,0
26000,10
26667,0
27333,10
28167,0
29167,100
30167,0
31167,100
32167,50
33167,100
34167,75
35167,100
36333,100
39167,0
39500,50
39633,0
39767,50
39900,0
40033,50
40167,0
40300,50
40433,0
40567,50
40700,0
40833,50
40967,0
41100,50
41233,0
41367,50
41500,0
41633,50
41767,0
41900,50
42033,0
42167,50
42300,0
42433,50
42567,0
42700,50
42833,0
42967,50
43100,0
43233,50
43367,0
43500,50
43667,10
44333,0
45000,10
46000,0
46333,100
46667,0
47000,100
47333,0
47666,100
48000,0
48333,100
48666,0
49000,100
49333,0
49666,50
50000,0
50000,0
50333,0
51000,100
51667,0
52333,100
53000,0
53500,100
54000,0
54500,100
54833,0
55167,100
55500,0
55833,100
56167,0
56500,100
56833,0
57167,100
57500,0
57833,100
58167,0
58500,100
58833,0
59167,100
59500,0
59833,100
60167,0
60833,10
61500,0
62167,10
62667,0
63000,100
64000,0
64333,100
65000,0
65333,100
65833,0
66167,100
66500,0
66833,100
67167,0
67433,100
67700,0
67900,100
68100,0
68300,100
68500,0
68700,100
68900,0
69100,100
69333,0
69600,100
69867,0
70200,100
70700,0
71033,100
71700,0
72033,100
73033,0
73367,100
74667,10
75333,0
76000,10
76667,0
77333,10
78167,0
79167,100
80167,0
81167,100
82167,50
83167,100
84167,75
85167,100
86333,100
89167,0
89500,50
89633,0
89767,50
89900,0
90033,50
90167,0
90300,50
90433,0
90567,50
90700,0
90833,50
90967,0
91100,50
91233,0
91367,50
91500,0
91633,50
91767,0
91900,50
92033,0
92167,50
92300,0
92433,50
92567,0
92700,50
92833,0
92967,50
93100,0
93233,50
93367,0
93500,50
93667,10
94333,0
95000,10
96000,0
96333,100
96667,0
97000,100
97333,0
97666,100
98000,0
98333,100
98666,0
99000,100
99333,0
99666,50
100000,0
